,company,username,esg_company,verified
2126,Zenith Bank,zenithbankplc,ZENITH INTERNATIONAL BANK PLC,Verified
2127,Zhejiang Century Huatong Group,Not Found,Zhejiang Century Huatong Automotive Part Co Ltd,Not Found
2128,Zhejiang Zheneng Electric Power,尚錡,"Zhejiang Zheneng Electric Power Co., Ltd.","新莊中港路446號, Taipei, Taiwan"
2129,Zhongsheng Group Holdings,Odeh Holdings Group Inc.,ZHONGSHENG GROUP HOLDINGS LIMITED,"2512 South Memorial Dr., Greenville, North Carolina"
2130,Zijin Mining Group,#zijinmininggroup,Zijin Mining Group (H),4 posts
2131,Zimmer Biomet,zimmerbiometdental,Zimmer Biomet,Zimmer Biomet Dental
2132,Zions Bancorp,#zionsbancorp,Zions Bancorporation,15 posts
2133,Zoetis,zoetispetcare,Zoetis Inc.,Verified
2134,zoom,zoom,Zoom Corp,Verified
2135,ZTE,zteusa,ZTE Corporation,Verified
2136,Zurich,zurich.switzerland,Zurich,Zurich / Zürich 🇨🇭
2137,Zurich Insurance Group,zurich_insurance_group,Zurich Financial Services,Zurich Insurance Group
